item_id,surah_ayah,recite_this_phrase,target_word,word_position,normally_says,instead_say,word_as_spoken,take_1_file,take_2_file
cf010,3:35,إِذْ قَالَتِ ٱمْرَأَتُ عِمْرَٰنَ رَبِّ إِنِّى نَذَرْتُ لَكَ مَا فِى بَطْنِى مُحَرَّرًۭا فَتَقَبَّلْ مِنِّىٓ إِنَّكَ أَنتَ ٱلسَّمِيعُ ٱلْعَلِيمُ,إِذْ,1,kasra (i),fatha (a),إَذْ,cf010_control.wav,cf010_counterfactual.wav
cf011,54:40,وَلَقَدْ يَسَّرْنَا ٱلْقُرْءَانَ لِلذِّكْرِ فَهَلْ مِن مُّدَّكِرٍۢ,مِن,6,kasra (i),damma (u),مُن,cf011_control.wav,cf011_counterfactual.wav
cf012,18:14,وَرَبَطْنَا عَلَىٰ قُلُوبِهِمْ إِذْ قَامُوا۟ فَقَالُوا۟ رَبُّنَا رَبُّ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ لَن نَّدْعُوَا۟ مِن دُونِهِۦٓ إِلَـٰهًۭا,لَن,11,fatha (a),damma (u),لُن,cf012_control.wav,cf012_counterfactual.wav
cf013,21:55,قَالُوٓا۟ أَجِئْتَنَا بِٱلْحَقِّ أَمْ أَنتَ مِنَ ٱللَّـٰعِبِينَ,أَمْ,4,fatha (a),kasra (i),أِمْ,cf013_control.wav,cf013_counterfactual.wav
cf014,2:70,قَالُوا۟ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِىَ إِنَّ ٱلْبَقَرَ تَشَـٰبَهَ عَلَيْنَا,ٱدْعُ,2,damma (u),fatha (a),ٱدْعَ,cf014_control.wav,cf014_counterfactual.wav
cf015,3:59,خَلَقَهُۥ مِن تُرَابٍۢ ثُمَّ قَالَ لَهُۥ كُن فَيَكُونُ,كُن,7,damma (u),kasra (i),كِن,cf015_control.wav,cf015_counterfactual.wav
cf016,37:7,وَحِفْظًۭا مِّن كُلِّ شَيْطَـٰنٍۢ مَّارِدٍۢ,مِّن,2,kasra (i),fatha (a),مَّن,cf016_control.wav,cf016_counterfactual.wav
cf017,10:48,وَيَقُولُونَ مَتَىٰ هَـٰذَا ٱلْوَعْدُ إِن كُنتُمْ صَـٰدِقِينَ,إِن,5,kasra (i),damma (u),إُن,cf017_control.wav,cf017_counterfactual.wav
cf018,84:19,لَتَرْكَبُنَّ طَبَقًا عَن طَبَقٍۢ,عَن,3,fatha (a),damma (u),عُن,cf018_control.wav,cf018_counterfactual.wav
cf019,36:52,قَالُوا۟ يَـٰوَيْلَنَا مَنۢ بَعَثَنَا مِن مَّرْقَدِنَا,مَنۢ,3,fatha (a),kasra (i),مِنۢ,cf019_control.wav,cf019_counterfactual.wav
cf020,2:35,وَقُلْنَا يَـٰٓـَٔادَمُ ٱسْكُنْ أَنتَ وَزَوْجُكَ ٱلْجَنَّةَ,ٱسْكُنْ,3,damma (u),fatha (a),ٱسْكَنْ,cf020_control.wav,cf020_counterfactual.wav
cf021,2:105,وَٱللَّهُ ذُو ٱلْفَضْلِ ٱلْعَظِيمِ,ذُو,2,damma (u),kasra (i),ذِو,cf021_control.wav,cf021_counterfactual.wav
cf022,15:26,وَلَقَدْ خَلَقْنَا ٱلْإِنسَـٰنَ مِن صَلْصَـٰلٍۢ مِّنْ حَمَإٍۢ مَّسْنُونٍۢ,مِّنْ,6,kasra (i),fatha (a),مَّنْ,cf022_control.wav,cf022_counterfactual.wav
cf023,20:63,قَالُوٓا۟ إِنْ هَـٰذَٰنِ لَسَـٰحِرَٰنِ يُرِيدَانِ أَن يُخْرِجَاكُم مِّنْ أَرْضِكُم بِسِحْرِهِمَا وَيَذْهَبَا بِطَرِيقَتِكُمُ ٱلْمُثْلَىٰ,إِنْ,2,kasra (i),damma (u),إُنْ,cf023_control.wav,cf023_counterfactual.wav
cf024,25:73,وَٱلَّذِينَ إِذَا ذُكِّرُوا۟ بِـَٔايَـٰتِ رَبِّهِمْ لَمْ يَخِرُّوا۟ عَلَيْهَا صُمًّۭا وَعُمْيَانًۭا,لَمْ,6,fatha (a),damma (u),لُمْ,cf024_control.wav,cf024_counterfactual.wav
cf025,12:66,قَالَ لَنْ أُرْسِلَهُۥ مَعَكُمْ حَتَّىٰ تُؤْتُونِ مَوْثِقًۭا مِّنَ ٱللَّهِ لَتَأْتُنَّنِى بِهِۦٓ إِلَّآ أَن يُحَاطَ بِكُمْ,لَنْ,2,fatha (a),kasra (i),لِنْ,cf025_control.wav,cf025_counterfactual.wav
cf026,2:8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ وَمَا هُم بِمُؤْمِنِينَ,هُم,10,damma (u),fatha (a),هَم,cf026_control.wav,cf026_counterfactual.wav
cf027,19:59,فَخَلَفَ مِنۢ بَعْدِهِمْ خَلْفٌ أَضَاعُوا۟ ٱلصَّلَوٰةَ وَٱتَّبَعُوا۟ ٱلشَّهَوَٰتِ فَسَوْفَ يَلْقَوْنَ غَيًّا,مِنۢ,2,kasra (i),fatha (a),مَنۢ,cf027_control.wav,cf027_counterfactual.wav
cf028,2:52,ثُمَّ عَفَوْنَا عَنكُم مِّنۢ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,مِّنۢ,4,kasra (i),damma (u),مُّنۢ,cf028_control.wav,cf028_counterfactual.wav
cf029,17:21,ٱنظُرْ كَيْفَ فَضَّلْنَا بَعْضَهُمْ عَلَىٰ بَعْضٍۢ,بَعْضٍۢ,6,fatha (a),damma (u),بُعْضٍۢ,cf029_control.wav,cf029_counterfactual.wav
cf030,48:13,وَمَن لَّمْ يُؤْمِنۢ بِٱللَّهِ وَرَسُولِهِۦ فَإِنَّآ أَعْتَدْنَا لِلْكَـٰفِرِينَ سَعِيرًۭا,لَّمْ,2,fatha (a),kasra (i),لِّمْ,cf030_control.wav,cf030_counterfactual.wav
cf031,38:35,قَالَ رَبِّ ٱغْفِرْ لِى وَهَبْ لِى مُلْكًۭا لَّا يَنۢبَغِى لِأَحَدٍۢ مِّنۢ بَعْدِىٓ,ٱغْفِرْ,3,kasra (i),fatha (a),ٱغْفَرْ,cf031_control.wav,cf031_counterfactual.wav
cf032,70:3,مِّنَ ٱللَّهِ ذِى ٱلْمَعَارِجِ,ذِى,3,kasra (i),damma (u),ذُى,cf032_control.wav,cf032_counterfactual.wav
cf033,26:7,أَوَلَمْ يَرَوْا۟ إِلَى ٱلْأَرْضِ كَمْ أَنۢبَتْنَا فِيهَا مِن كُلِّ زَوْجٍۢ كَرِيمٍ,كَمْ,5,fatha (a),damma (u),كُمْ,cf033_control.wav,cf033_counterfactual.wav
cf034,3:38,هُنَالِكَ دَعَا زَكَرِيَّا رَبَّهُۥ قَالَ رَبِّ هَبْ لِى مِن لَّدُنكَ ذُرِّيَّةًۭ طَيِّبَةً إِنَّكَ سَمِيعُ ٱلدُّعَآءِ,هَبْ,7,fatha (a),kasra (i),هِبْ,cf034_control.wav,cf034_counterfactual.wav
cf035,26:63,فَأَوْحَيْنَآ إِلَىٰ مُوسَىٰٓ أَنِ ٱضْرِب بِّعَصَاكَ ٱلْبَحْرَ فَٱنفَلَقَ فَكَانَ كُلُّ فِرْقٍۢ كَٱلطَّوْدِ ٱلْعَظِيمِ,ٱضْرِب,5,kasra (i),fatha (a),ٱضْرَب,cf035_control.wav,cf035_counterfactual.wav
cf036,16:25,لِيَحْمِلُوٓا۟ أَوْزَارَهُمْ كَامِلَةًۭ يَوْمَ ٱلْقِيَـٰمَةِ وَمِنْ أَوْزَارِ ٱلَّذِينَ يُضِلُّونَهُم بِغَيْرِ عِلْمٍ,عِلْمٍ,11,kasra (i),damma (u),عُلْمٍ,cf036_control.wav,cf036_counterfactual.wav
cf037,36:70,لِّيُنذِرَ مَن كَانَ حَيًّۭا وَيَحِقَّ ٱلْقَوْلُ عَلَى ٱلْكَـٰفِرِينَ,مَن,2,fatha (a),damma (u),مُن,cf037_control.wav,cf037_counterfactual.wav
cf038,7:86,وَلَا تَقْعُدُوا۟ بِكُلِّ صِرَٰطٍۢ تُوعِدُونَ وَتَصُدُّونَ عَن سَبِيلِ ٱللَّهِ مَنْ ءَامَنَ بِهِۦ وَتَبْغُونَهَا عِوَجًۭا,مَنْ,10,fatha (a),kasra (i),مِنْ,cf038_control.wav,cf038_counterfactual.wav
cf039,22:71,وَيَعْبُدُونَ مِن دُونِ ٱللَّهِ مَا لَمْ يُنَزِّلْ بِهِۦ سُلْطَـٰنًۭا وَمَا لَيْسَ لَهُم بِهِۦ عِلْمٌۭ,عِلْمٌۭ,14,kasra (i),fatha (a),عَلْمٌۭ,cf039_control.wav,cf039_counterfactual.wav
cf040,39:11,قُلْ إِنِّىٓ أُمِرْتُ أَنْ أَعْبُدَ ٱللَّهَ مُخْلِصًۭا لَّهُ ٱلدِّينَ,أَنْ,4,fatha (a),damma (u),أُنْ,cf040_control.wav,cf040_counterfactual.wav
cf041,41:34,وَلَا تَسْتَوِى ٱلْحَسَنَةُ وَلَا ٱلسَّيِّئَةُ ٱدْفَعْ بِٱلَّتِى هِىَ أَحْسَنُ فَإِذَا ٱلَّذِى بَيْنَكَ وَبَيْنَهُۥ عَدَٰوَةٌۭ كَأَنَّهُۥ وَلِىٌّ حَمِيمٌۭ,ٱدْفَعْ,6,fatha (a),kasra (i),ٱدْفِعْ,cf041_control.wav,cf041_counterfactual.wav
cf042,2:245,مَّن ذَا ٱلَّذِى يُقْرِضُ ٱللَّهَ قَرْضًا حَسَنًۭا فَيُضَـٰعِفَهُۥ لَهُۥٓ أَضْعَافًۭا كَثِيرَةًۭ,ذَا,2,fatha (a),damma (u),ذُا,cf042_control.wav,cf042_counterfactual.wav
cf043,40:60,إِنَّ ٱلَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِى سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ,عَنْ,4,fatha (a),kasra (i),عِنْ,cf043_control.wav,cf043_counterfactual.wav
cf044,87:15,وَذَكَرَ ٱسْمَ رَبِّهِۦ فَصَلَّىٰ,ٱسْمَ,2,fatha (a),damma (u),ٱسْمُ,cf044_control.wav,cf044_counterfactual.wav
cf045,90:12,وَمَآ أَدْرَىٰكَ مَا ٱلْعَقَبَةُ,مَا,3,fatha (a),kasra (i),مِا,cf045_control.wav,cf045_counterfactual.wav
cf046,18:58,بَل لَّهُم مَّوْعِدٌۭ لَّن يَجِدُوا۟ مِن دُونِهِۦ مَوْئِلًۭا,بَل,1,fatha (a),damma (u),بُل,cf046_control.wav,cf046_counterfactual.wav
